,帖子名称,作者,回复数量
0,罚进这球你才能活的话，看看你截到的是谁？,我是歌手蔡徐坤,9476
1,一直说三巨头夺冠，可是什么叫巨头呢？我曾经发起投票，可是很多人进来不敢参与！,飞天遁地大姚明,1242
2,韦德靠什么压的阿伦艾弗森啊！,jordan929520,1149
3,【乔丹究竟行不行】单核乔赢下系列赛须场均40+7+7，而1.0时期的詹姆斯只需要场均不到30分！,1989MJ,1106
4,某美媒评的历史最佳阵容，一二三阵实力相当啊！,溢洋宝贝,1059
5,还不内讧？看看森林狼全队，戏耍唐斯？,WEST蒙斯,1051
6,秀出你心目中的最强拉杆！,AIFYLHD,908
7,[流言板]安东尼谈保罗被交易：曾告诉过他待在那里需要小心些,虎扑篮球新闻,872
8,巅峰火花真不如字母哥,不做慕洋犬,806
9,终于轮到小助手了！大家对于最近社区反违规行动有什么建议吗,篮球社区小助手,786
10,[流言板]今日要闻汇总：乐福倾向效力开拓者，保罗等多人可被交易,虎扑篮球新闻,782
11,大家觉得杜兰特和莱昂纳德一对一谁能赢,123456BVLK,766
12,杜兰特在和詹姆斯的直接对话中2：1领先詹姆斯，为什么还有这么多人贬低杜兰特呢?,Ivhnl,750
13,大家觉得巅峰库里和巅峰保罗单挑谁赢？,大王叫我来涉猎,689
14,邓肯、鲨鱼、勒布朗出现在同一届选秀，谁会是状元？,hkzsw,689
15,巴特勒看数据也就这样，为啥到哪大环境都不错,囧囧QQ,668
16,乔丹哪些能力是历史第一？,虎扑JR0775127433,654
17,"[赛后]老鹰121-135热火，杨21+9,，纳恩36+6+4，巴特勒20+18+10，阿德巴约30+11+11",蒂姆关古威,651
18,安东尼：我在火箭的事情发生后 我告诉保罗要小心,用户0309365216,650
19,[话题团]伦纳德本赛季有效命中率为9年来新低，是自身状态不佳还是球队打法限制？,庄晓晨,649
20,大家好我是篮球社区小助手，答应你们的爆照来了！,篮球社区小助手,641
21,这图里的内线，浓眉能安排谁？,jordan929520,568
22,不懂就问，巅峰时期的加内特什么水平？,小詹皇go,567
23,就不明白了，威少22%3分命中率一场还要投6.7个,jerryni,563
24,詹姆斯来到西部了，为什么西部不狂野了？,卡哇懿,561
25,博古特总决赛16年受伤，对勇士的影响大不大？,西虹市首富不是药神,555
26,为什么詹姆斯吃taco不会说垃圾食品，周琦吃煎饼果子就说垃圾食品,法伊的春天,517
27,尤因的巅峰实力！,传奇重现,505
28,突发奇想，3fmvp与3mvp，哪个更强？,歌尽桃花深处,504
29,34岁的霍华德这弹跳什么水平？,雨尘晨辰臣陈,486
30,去年许多人说伦纳德锁死了字母哥？看看这场比赛给你答案,风中追风的迷踪岛,485
31,想问下火密 如果现在可以选 威少还是保罗？,迈阿密牛津,482
32,火蜜进来，有好消息,遍身罗齐尔,467
33,某美媒评NBA历史十大控卫，前二无争议！,溢洋宝贝,458
34,乔丹最美动作集锦！,变向哥,457
35,詹姆斯和小卡两个人的性格真的是形成强烈的对比,带娃,455
36,NBA球队总薪金榜谁最让你意外,玫瑰蒂,452
37,湖人和凯尔特人谁重建更成功！,欧阳忆月,448
38,保罗乔治和步行者17年夏天到底发生了什么，这里有史上最详细的分析。,光凉日暖,443
39,“麦”向高光-竞猜赢取T-MAC的最新系列球鞋,剑持勇,434
40,詹姆斯有哪些能力是历史第一？,虎扑JR0775127433,426
41,有一点不明白，湖人究竟怎么在狂野西部比第二多4个胜场的？,八一科比,423
42,卡特：或参加扣篮大赛结束职业生涯,墨香红尘醉锦风,415
43,如果这笔交易达成 雄鹿什么水平,就尽快上课,411
44,帮主的这个球，防守是不是已经到位了？,Grubby4K,409
45,不得不说，卡特的打法已经落后了时代,老大有伤,408
46,有图为证，林书豪处于外援最低档,孤独的Joker,407
47,快船想争冠，芦苇必须走,湖人老大波普,404
48,哈登的电动车从我姐面前过去，被我姐无意拍下了，什么水平,Marvin屏住呼吸,402
49,AD这么强 有被人打爆过吗？纯属好奇讨论,jaden_myaka,401
50,居然有人认为字母跟14杜兰特一个级别的,rubmousse,400
51,勇士那年总决赛mvp给伊格达拉是不是等同于热火三巨头夺冠时期fmvp给波什？,科比后仰像我,397
52,火箭想用两个首轮签交易到卡文顿zt,格小龙,396
53,美媒发问：二十一世纪以来的5支历史级别阵容，谁最强？,hlt20122,393
54,如果这6人一同出现在NBA扣篮大赛，夺冠概率最大的是谁？,詹林林睿,389
55,米切尔是不是真把自己当爵士老大了？,我打球像TraeYoung,386
56,邓肯的集锦真的很一般，为啥是历史第一大前锋,more磨,383
57,突然发现，詹姆斯来西部后荣誉簿上几乎为零！,偶像已死有事烧纸,381
58,给每个队加个名宿，谁能夺冠,解夏3950,378
59,有哪些球员的外形长相与球风不相称？,洛九,377
60,杜兰特算不算在巅峰詹姆斯头上拿了四个得分王,清道夫的面具,375
61,大家看好莫兰特成为下一个欧文般的人气王吗？,爱心绝罗j,373
62,为什么强如乔丹单场都过不了70分？,吴彦祖的长相,373
63,15-18年 到底库里强还是詹姆斯强？两人谁更有统治力？,uiui,372
64,威少和詹姆斯都属于靠身体打球的典范，为什么詹姆斯下滑速度比威少慢这么多?,这比赛真好看,371
65,为什么伯德这么早退役了？,心系马后看牛现看詹,362
66,罚进这个球，你才能活下去，看你截到谁？,哈登好牛逼,361
67,灌篮高手里人气最高的是投三分的三井吧。可现在为什么那么多人不要看三分了？,霍燕妮,354
68,浓眉大帝选一个作为建队核心，你选,素血染沙,350
69,NBA里最大的分量最重的荣誉难道不是总冠军？,带娃,346
70,烤肉姐什么水平？,牙太嫩饭特稀,343
71,都说詹姆斯统治了一个时代，那么他统治了谁呢？,带娃,342
72,在斯台普斯门口碰到张指导什么水平？,我住球哥家楼下,342
73,原来詹姆斯的周最佳月最佳才这点啊,冬瓜排,336
74,哈登今年如果夺冠能超越韦德成为历史第三分位吗？,科比后仰像我,330
75,法里德也就30岁，怎么打个CBA都费劲啊！,jordan929520,321
76,美媒列出小前锋、控球后卫以及得分后卫3个位置上的球员金字塔，哈登力压077独一档！,溢洋宝贝,319
77,为什么保罗183轻轻一跳就可以挂框，而我181使劲跳也摸不到框？？,持雳茜卖客各累迪,317
78,[赛后]掘金92-97不敌76人，巴顿26+7+7，恩比德22+10+6，哈里斯20+7+4,蒂姆关古威,316
79,有一说一，勇士也能算王朝？,BURNLLH35,311
80,为何现在联盟出不了一个像科比那样美如画的球员？,uiui,310
81,据报道，火箭队表示有兴趣交易来罗伯特·科温顿,哈登威少是CP,309
82,詹姆斯和哈登三分谁更好,嗨a志,309
83,哈登和四大分卫中的三位，是否已经并驾齐驱？,2009是我的篮球梦,308
84,乔丹经典过人——背身晃肩+超快启动,后仰无解,307
85,赛季21场，我宣布保罗复活辣,北大院风气,306
86,ESPN：现役的历史100大球星。,建议一个罚球算两分,304
87,终于找到詹姆斯被黑的理由了，他不是不强，而是,期待洛杉矶,303
88,挺好奇的，詹姆斯退役之后会是个什么风评,美好頔,303
89,论单核带队战绩，今年的字母哥应该是近10年最强了吧？,常规赛重拳出击季后赛频频拉稀,302
90,有点心疼威少。。。,威少捧着奥布莱恩杯尬舞,300
91,[经典回顾]巅峰“飞猪”的神威，巴克利抢七44分24篮板挺进总决赛,耶律,295
92,在造犯规这件事上，我觉得哈登最让人惊叹的是“创造力”,摆货机,293
93,多位经纪人抱怨：球员们加盟湖人得经詹姆斯的批准,不大动,293
94,突然发现，第一冠的詹姆斯实际上有两个绝境点,头顶一束绿光,289
95,官方驳回了火箭重赛请求.,我不是小小栓,289
96,Woj：骑士队开始听取凯文乐福的报价,紫金湖人国度,286
97,现役拿过MVP后卫防守端的荣誉加起来也没有保罗多啊,封号斗罗ig,285
98,湖人本赛季能得到73胜吗？,安个灯泡得了,282
99,ESPN：过去5年退役的10大球星,建议一个罚球算两分,282
100,[话题团]五战场均8.4分，约基奇的进攻欲望去哪儿了？,孟克_巴特尔,281
101,说个恐怖故事，奥尼尔的儿子2000年的，东契奇1999年的,醍醐蔡恩给你来个暴扣,275
102,凯文乐福倾向于被交易到开拓者,micqin,271
103,麦迪这球什么水平？,你也上网冲浪啊233,270
104,小卡合同会不会玩脱了,挥手说再见,267
105,如果篮网要交易欧文，能换来谁？,国服AD,267
106,不懂就问，罗斯绝杀这球是不是走步了？,Mr西门吹牛,266
107,热火这首发也太猛了吧,不懂虎扑球,265
108,鬼手林坤在国外惨遭骨头收集者黑手,yC91,262
109,世界三大运动分别是足球，篮球，排球，这个排名对吗？我觉得拳击可以排第三,第九个王,258
110,姚明被低估了！谁能想到他这么厉害！,飞天遁地大姚明,258
111,现在来看，湖人当年送走拉塞尔扶正球哥，是不是非常可笑？,布莱顿硬糖,256
112,退役8年，毕比现在这身材什么水平？,斯科拉暴力拉杆,254
113,伦纳德永远无法成为联盟的头牌。,浅挚绊离兮丨,252
114,历史上最可惜的总亚军是哪一个？,马刺巨星郭敬明,249
115,巅峰詹姆斯配一个巅峰加索尔，能两连冠吗？,莫雷有能耐你出来,249
116,有一说一，詹姆斯为什么不能做到得分助攻两开花？,梅西卡卡C罗库里哈登詹姆斯黑,248
117,巴雷特的罚球命中率竟然是联盟“第一”,历史第一分卫,247
